split,array_index,source_index,case_id,group,group_id
train,72,1702,2703,cross,0
train,73,2854,3855,cross,0
train,74,1975,2976,cross,0
train,75,113,1114,cross,0
train,76,1203,2204,cross,0
train,77,1062,2063,cross,0
train,78,1045,2046,cross,0
train,79,859,1860,cross,0
train,80,1953,2954,cross,0
train,81,1929,2930,cross,0
train,82,609,1610,cross,0
train,83,2837,3838,cross,0
train,84,2831,3832,cross,0
train,85,68,1069,cross,0
train,86,1176,2177,cross,0
train,87,638,1639,cross,0
train,88,45,1046,cross,0
train,89,418,1419,cross,0
train,90,2585,3586,cross,0
train,91,2781,3782,cross,0
train,92,1305,2306,cross,0
train,93,2552,3553,cross,0
train,94,2307,3308,cross,0
train,95,511,1512,cross,0
train,96,841,1842,cross,0
train,97,2968,3969,cross,0
train,98,177,1178,cross,0
train,99,660,1661,cross,0
train,100,17,1018,cross,0
train,101,2649,3650,cross,0
train,102,1293,2294,cross,0
train,103,1620,2621,cross,0
train,104,2155,3156,cross,0
train,105,2937,3938,cross,0
train,106,1100,2101,cross,0
train,107,918,1919,cross,0
train,108,771,1772,cross,0
train,109,2921,3922,cross,0
train,110,2089,3090,cross,0
train,111,1230,2231,cross,0
train,112,2438,3439,cross,0
train,113,2899,3900,cross,0
train,114,1190,2191,cross,0
train,115,242,1243,cross,0
train,116,354,1355,cross,0
train,117,2657,3658,cross,0
train,118,2045,3046,cross,0
train,119,1996,2997,cross,0
train,120,1411,2412,cross,0
train,121,18,1019,cross,0
train,122,628,1629,cross,0
train,123,849,1850,cross,0
train,124,452,1453,cross,0
train,125,2569,3570,cross,0
train,126,1175,2176,cross,0
train,127,2467,3468,cross,0
train,128,248,1249,cross,0
train,129,479,1480,cross,0
train,130,625,1626,cross,0
train,131,1059,2060,cross,0
train,132,2219,3220,cross,0
train,133,1335,2336,cross,0
train,134,1701,2702,cross,0
train,135,1978,2979,cross,0
train,136,892,1893,cross,0
train,137,2285,3286,cross,0
train,138,2913,3914,cross,0
train,139,1689,2690,cross,0
train,140,1011,2012,cross,0
train,141,1133,2134,cross,0
train,142,2284,3285,cross,0
train,143,2596,3597,cross,0
train,144,2005,3006,cross,0
train,145,2867,3868,cross,0
train,146,1883,2884,cross,0
train,147,2400,3401,cross,0
train,148,2963,3964,cross,0
train,149,129,1130,cross,0
train,150,668,1669,cross,0
train,151,2769,3770,cross,0
train,152,1359,2360,cross,0
train,153,1067,2068,cross,0
train,154,1140,2141,cross,0
train,155,1031,2032,cross,0
train,156,1469,2470,cross,0
train,157,2103,3104,cross,0
train,158,1034,2035,cross,0
train,159,8,1009,cross,0
train,160,2048,3049,cross,0
train,161,2929,3930,cross,0
train,162,293,1294,cross,0
train,163,1116,2117,cross,0
train,164,1725,2726,cross,0
train,165,751,1752,cross,0
train,166,1754,2755,cross,0
train,167,619,1620,cross,0
train,168,1266,2267,cross,0
train,169,1320,2321,cross,0
train,170,1033,2034,cross,0
train,171,1683,2684,cross,0
train,172,2725,3726,cross,0
train,173,365,1366,cross,0
train,174,282,1283,cross,0
train,175,1875,2876,cross,0
train,176,285,1286,cross,0
train,177,712,1713,cross,0
train,178,84,1085,cross,0
train,179,2703,3704,cross,0
train,180,1782,2783,cross,0
train,181,78,1079,cross,0
train,182,1304,2305,cross,0
train,183,1958,2959,cross,0
train,184,1765,2766,cross,0
train,185,594,1595,cross,0
train,186,2849,3850,cross,0
train,187,2017,3018,cross,0
train,188,693,1694,cross,0
train,189,1338,2339,cross,0
train,190,1639,2640,cross,0
train,191,132,1133,cross,0
train,192,303,1304,cross,0
train,193,2242,3243,cross,0
train,194,786,1787,cross,0
train,195,2409,3410,cross,0
train,196,1787,2788,cross,0
train,197,847,1848,cross,0
train,198,216,1217,cross,0
train,199,147,1148,cross,0
train,200,1976,2977,cross,0
train,201,2673,3674,cross,0
train,202,2845,3846,cross,0
train,203,2293,3294,cross,0
train,204,1866,2867,cross,0
train,205,1980,2981,cross,0
train,206,1525,2526,cross,0
train,207,1946,2947,cross,0
train,208,80,1081,cross,0
train,209,963,1964,cross,0
train,210,1703,2704,cross,0
train,211,1677,2678,cross,0
train,212,119,1120,cross,0
train,213,2389,3390,cross,0
train,214,1904,2905,cross,0
train,215,1854,2855,cross,0
train,216,2267,3268,cross,0
train,217,621,1622,cross,0
train,218,1864,2865,cross,0
train,219,1730,2731,cross,0
train,220,1417,2418,cross,0
train,221,1823,2824,cross,0
train,222,34,1035,cross,0
train,223,1,1002,cross,0
train,224,516,1517,cross,0
train,225,1376,2377,cross,0
train,226,1260,2261,cross,0
train,227,1762,2763,cross,0
train,228,2710,3711,cross,0
train,229,2858,3859,cross,0
train,230,1637,2638,cross,0
train,231,1694,2695,cross,0
train,232,2304,3305,cross,0
train,233,487,1488,cross,0
train,234,2658,3659,cross,0
train,235,2091,3092,cross,0
train,236,223,1224,cross,0
train,237,586,1587,cross,0
train,238,2133,3134,cross,0
train,239,1888,2889,cross,0
train,240,1053,2054,cross,0
train,241,1440,2441,cross,0
train,242,2784,3785,cross,0
train,243,2883,3884,cross,0
train,244,2164,3165,cross,0
train,245,2139,3140,cross,0
train,246,1984,2985,cross,0
train,247,877,1878,cross,0
train,248,2270,3271,cross,0
train,249,2052,3053,cross,0
train,250,2759,3760,cross,0
train,251,890,1891,cross,0
train,252,2186,3187,cross,0
train,253,342,1343,cross,0
train,254,70,1071,cross,0
train,255,131,1132,cross,0
train,256,1285,2286,cross,0
train,257,551,1552,cross,0
train,258,2316,3317,cross,0
train,259,2534,3535,cross,0
train,260,2501,3502,cross,0
train,261,495,1496,cross,0
train,262,2427,3428,cross,0
train,263,2238,3239,cross,0
train,264,1852,2853,cross,0
train,265,2259,3260,cross,0
train,266,2919,3920,cross,0
train,267,381,1382,cross,0
train,268,2014,3015,cross,0
train,269,2546,3547,cross,0
train,270,466,1467,cross,0
train,271,957,1958,cross,0
train,272,2056,3057,cross,0
train,273,723,1724,cross,0
train,274,67,1068,cross,0
train,275,536,1537,cross,0
train,276,2698,3699,cross,0
train,277,2532,3533,cross,0
train,278,1986,2987,cross,0
train,279,405,1406,cross,0
train,280,2680,3681,cross,0
train,281,2843,3844,cross,0
train,282,1704,2705,cross,0
train,283,2235,3236,cross,0
train,284,2870,3871,cross,0
train,285,1227,2228,cross,0
train,286,1928,2929,cross,0
train,287,454,1455,cross,0
train,288,1924,2925,cross,0
train,289,1542,2543,cross,0
train,290,788,1789,cross,0
train,291,2062,3063,cross,0
train,292,476,1477,cross,0
train,293,1890,2891,cross,0
train,294,2995,3996,cross,0
train,295,982,1983,cross,0
train,296,1758,2759,cross,0
train,297,2954,3955,cross,0
train,298,1341,2342,cross,0
train,299,1309,2310,cross,0
train,300,1771,2772,cross,0
train,301,1490,2491,cross,0
train,302,1597,2598,cross,0
train,303,2475,3476,cross,0
train,304,415,1416,cross,0
train,305,1491,2492,cross,0
train,306,2496,3497,cross,0
train,307,2974,3975,cross,0
train,308,174,1175,cross,0
train,309,2448,3449,cross,0
train,310,985,1986,cross,0
train,311,404,1405,cross,0
train,312,352,1353,cross,0
train,313,2598,3599,cross,0
train,314,947,1948,cross,0
train,315,123,1124,cross,0
train,316,2488,3489,cross,0
train,317,2520,3521,cross,0
train,318,2605,3606,cross,0
train,319,1289,2290,cross,0
train,320,1001,2002,cross,0
train,321,2278,3279,cross,0
train,322,1436,2437,cross,0
train,323,497,1498,cross,0
train,324,1909,2910,cross,0
train,325,769,1770,cross,0
train,326,992,1993,cross,0
train,327,927,1928,cross,0
train,328,1096,2097,cross,0
train,329,2200,3201,cross,0
train,330,763,1764,cross,0
train,331,1893,2894,cross,0
train,332,2985,3986,cross,0
train,333,331,1332,cross,0
train,334,1012,2013,cross,0
train,335,972,1973,cross,0
train,336,1966,2967,cross,0
train,337,592,1593,cross,0
train,338,2177,3178,cross,0
train,339,1586,2587,cross,0
train,340,2914,3915,cross,0
train,341,1849,2850,cross,0
train,342,1350,2351,cross,0
train,343,2372,3373,cross,0
train,344,1811,2812,cross,0
train,345,898,1899,cross,0
train,346,2352,3353,cross,0
train,347,518,1519,cross,0
train,348,2660,3661,cross,0
train,349,2504,3505,cross,0
train,350,2130,3131,cross,0
train,351,1038,2039,cross,0
train,352,83,1084,cross,0
train,353,665,1666,cross,0
train,354,761,1762,cross,0
train,355,1826,2827,cross,0
train,356,1221,2222,cross,0
train,357,1435,2436,cross,0
train,358,557,1558,cross,0
train,359,2470,3471,cross,0
train,360,2564,3565,cross,0
train,361,2943,3944,cross,0
train,362,3,1004,cross,0
train,363,237,1238,cross,0
train,364,1662,2663,cross,0
train,365,130,1131,cross,0
train,366,1431,2432,cross,0
train,367,2040,3041,cross,0
train,368,419,1420,cross,0
train,369,2433,3434,cross,0
train,370,1239,2240,cross,0
train,371,2878,3879,cross,0
train,372,470,1471,cross,0
train,373,2730,3731,cross,0
train,374,319,1320,cross,0
train,375,1899,2900,cross,0
train,376,793,1794,cross,0
train,377,433,1434,cross,0
train,378,406,1407,cross,0
train,379,2453,3454,cross,0
train,380,1144,2145,cross,0
train,381,2912,3913,cross,0
train,382,2822,3823,cross,0
train,383,1618,2619,cross,0
train,384,2086,3087,cross,0
train,385,1706,2707,cross,0
train,386,2793,3794,cross,0
train,387,2436,3437,cross,0
train,388,1766,2767,cross,0
train,389,28,1029,cross,0
train,390,87,1088,cross,0
train,391,1517,2518,cross,0
train,392,1660,2661,cross,0
train,393,1750,2751,cross,0
train,394,1109,2110,cross,0
train,395,2850,3851,cross,0
train,396,622,1623,cross,0
train,397,2586,3587,cross,0
train,398,2113,3114,cross,0
train,399,2391,3392,cross,0
train,400,2566,3567,cross,0
train,401,1891,2892,cross,0
train,402,2801,3802,cross,0
train,403,157,1158,cross,0
train,404,348,1349,cross,0
train,405,409,1410,cross,0
train,406,1455,2456,cross,0
train,407,552,1553,cross,0
train,408,800,1801,cross,0
train,409,186,1187,cross,0
train,410,2938,3939,cross,0
train,411,1265,2266,cross,0
train,412,1605,2606,cross,0
train,413,2543,3544,cross,0
train,414,795,1796,cross,0
train,415,99,1100,cross,0
train,416,2558,3559,cross,0
train,417,1504,2505,cross,0
train,418,2816,3817,cross,0
train,419,2874,3875,cross,0
train,420,1466,2467,cross,0
train,421,1172,2173,cross,0
train,422,2223,3224,cross,0
train,423,2726,3727,cross,0
train,424,1615,2616,cross,0
train,425,2652,3653,cross,0
train,426,612,1613,cross,0
train,427,2403,3404,cross,0
train,428,2458,3459,cross,0
train,429,2588,3589,cross,0
train,430,2072,3073,cross,0
train,431,607,1608,cross,0
train,432,2498,3499,cross,0
train,433,1761,2762,cross,0
train,434,1472,2473,cross,0
train,435,75,1076,cross,0
train,436,108,1109,cross,0
train,437,863,1864,cross,0
train,438,2245,3246,cross,0
train,439,1757,2758,cross,0
train,440,2812,3813,cross,0
train,441,2027,3028,cross,0
train,442,1226,2227,cross,0
train,443,1988,2989,cross,0
train,444,500,1501,cross,0
train,445,835,1836,cross,0
train,446,974,1975,cross,0
train,447,2422,3423,cross,0
train,448,2176,3177,cross,0
train,449,2786,3787,cross,0
train,450,1313,2314,cross,0
train,451,2868,3869,cross,0
train,452,1389,2390,cross,0
train,453,797,1798,cross,0
train,454,232,1233,cross,0
train,455,385,1386,cross,0
train,456,2175,3176,cross,0
train,457,1999,3000,cross,0
train,458,2932,3933,cross,0
train,459,257,1258,cross,0
train,460,2765,3766,cross,0
train,461,2794,3795,cross,0
train,462,1675,2676,cross,0
train,463,1463,2464,cross,0
train,464,1160,2161,cross,0
train,465,429,1430,cross,0
train,466,2750,3751,cross,0
train,467,2468,3469,cross,0
train,468,692,1693,cross,0
train,469,2034,3035,cross,0
train,470,2553,3554,cross,0
train,471,1743,2744,cross,0
train,472,2252,3253,cross,0
train,473,1708,2709,cross,0
train,474,168,1169,cross,0
train,475,2833,3834,cross,0
train,476,396,1397,cross,0
train,477,701,1702,cross,0
train,478,1223,2224,cross,0
train,479,2941,3942,cross,0
train,480,2345,3346,cross,0
train,481,1843,2844,cross,0
train,482,77,1078,cross,0
train,483,1776,2777,cross,0
train,484,2262,3263,cross,0
train,485,591,1592,cross,0
train,486,1148,2149,cross,0
train,487,878,1879,cross,0
train,488,617,1618,cross,0
train,489,2123,3124,cross,0
train,490,1502,2503,cross,0
train,491,1804,2805,cross,0
train,492,2539,3540,cross,0
train,493,2279,3280,cross,0
train,494,1248,2249,cross,0
train,495,29,1030,cross,0
train,496,1401,2402,cross,0
train,497,2667,3668,cross,0
train,498,2124,3125,cross,0
train,499,1774,2775,cross,0
train,500,2450,3451,cross,0
train,501,1069,2070,cross,0
train,502,1495,2496,cross,0
train,503,192,1193,cross,0
train,504,2315,3316,cross,0
train,505,1460,2461,cross,0
train,506,738,1739,cross,0
train,507,2716,3717,cross,0
train,508,1990,2991,cross,0
train,509,400,1401,cross,0
train,510,480,1481,cross,0
train,511,393,1394,cross,0
train,512,2073,3074,cross,0
train,513,2984,3985,cross,0
train,514,1680,2681,cross,0
train,515,876,1877,cross,0
train,516,2329,3330,cross,0
train,517,2972,3973,cross,0
train,518,1084,2085,cross,0
train,519,1575,2576,cross,0
train,520,1318,2319,cross,0
train,521,1963,2964,cross,0
train,522,486,1487,cross,0
train,523,2382,3383,cross,0
train,524,2249,3250,cross,0
train,525,1459,2460,cross,0
train,526,2770,3771,cross,0
train,527,2323,3324,cross,0
train,528,1312,2313,cross,0
train,529,2234,3235,cross,0
train,530,2897,3898,cross,0
train,531,2920,3921,cross,0
train,532,2754,3755,cross,0
train,533,2623,3624,cross,0
train,534,1428,2429,cross,0
train,535,2630,3631,cross,0
train,536,1714,2715,cross,0
train,537,48,1049,cross,0
train,538,1333,2334,cross,0
train,539,2146,3147,cross,0
train,540,2601,3602,cross,0
train,541,1655,2656,cross,0
train,542,2626,3627,cross,0
train,543,1237,2238,cross,0
train,544,1120,2121,cross,0
train,545,1271,2272,cross,0
train,546,463,1464,cross,0
train,547,165,1166,cross,0
train,548,1404,2405,cross,0
train,549,531,1532,cross,0
train,550,1110,2111,cross,0
train,551,1659,2660,cross,0
train,552,2192,3193,cross,0
train,553,2592,3593,cross,0
train,554,2996,3997,cross,0
train,555,2595,3596,cross,0
train,556,2711,3712,cross,0
train,557,538,1539,cross,0
train,558,1803,2804,cross,0
train,559,109,1110,cross,0
train,560,1693,2694,cross,0
train,561,1882,2883,cross,0
train,562,2076,3077,cross,0
train,563,1763,2764,cross,0
train,564,2181,3182,cross,0
train,565,720,1721,cross,0
train,566,2425,3426,cross,0
train,567,1688,2689,cross,0
train,568,2434,3435,cross,0
train,569,461,1462,cross,0
train,570,402,1403,cross,0
train,571,2231,3232,cross,0
train,572,2634,3635,cross,0
train,573,1060,2061,cross,0
train,574,1083,2084,cross,0
train,575,2003,3004,cross,0
train,576,1690,2691,cross,0
train,577,983,1984,cross,0
train,578,330,1331,cross,0
train,579,266,1267,cross,0
train,580,941,1942,cross,0
train,581,425,1426,cross,0
train,582,2541,3542,cross,0
train,583,872,1873,cross,0
train,584,1340,2341,cross,0
train,585,1374,2375,cross,0
train,586,1021,2022,cross,0
train,587,1715,2716,cross,0
train,588,313,1314,cross,0
train,589,1257,2258,cross,0
train,590,412,1413,cross,0
train,591,944,1945,cross,0
train,592,392,1393,cross,0
train,593,2492,3493,cross,0
train,594,2122,3123,cross,0
train,595,120,1121,cross,0
train,596,2199,3200,cross,0
train,597,593,1594,cross,0
train,598,624,1625,cross,0
train,599,1570,2571,cross,0
train,600,347,1348,cross,0
train,601,2998,3999,cross,0
train,602,2709,3710,cross,0
train,603,2022,3023,cross,0
train,604,2272,3273,cross,0
train,605,2761,3762,cross,0
train,606,1450,2451,cross,0
train,607,2882,3883,cross,0
train,608,2505,3506,cross,0
train,609,913,1914,cross,0
train,610,1847,2848,cross,0
train,611,2205,3206,cross,0
train,612,1927,2928,cross,0
train,613,436,1437,cross,0
train,614,1452,2453,cross,0
train,615,541,1542,cross,0
train,616,2096,3097,cross,0
train,617,1705,2706,cross,0
train,618,1070,2071,cross,0
train,619,1004,2005,cross,0
train,620,2574,3575,cross,0
train,621,1568,2569,cross,0
train,622,1132,2133,cross,0
train,623,1208,2209,cross,0
train,624,2416,3417,cross,0
train,625,2256,3257,cross,0
train,626,2283,3284,cross,0
train,627,710,1711,cross,0
train,628,719,1720,cross,0
train,629,1622,2623,cross,0
train,630,2443,3444,cross,0
train,631,408,1409,cross,0
train,632,1369,2370,cross,0
train,633,2057,3058,cross,0
train,634,2446,3447,cross,0
train,635,377,1378,cross,0
train,636,1871,2872,cross,0
train,637,2542,3543,cross,0
train,638,2477,3478,cross,0
train,639,2419,3420,cross,0
train,640,2220,3221,cross,0
train,641,2708,3709,cross,0
train,642,140,1141,cross,0
train,643,2075,3076,cross,0
train,644,1695,2696,cross,0
train,645,1648,2649,cross,0
train,646,971,1972,cross,0
train,647,1845,2846,cross,0
train,648,1040,2041,cross,0
train,649,483,1484,cross,0
train,650,343,1344,cross,0
train,651,2915,3916,cross,0
train,652,1224,2225,cross,0
train,653,2935,3936,cross,0
train,654,1441,2442,cross,0
train,655,1071,2072,cross,0
train,656,993,1994,cross,0
train,657,1264,2265,cross,0
train,658,1921,2922,cross,0
train,659,748,1749,cross,0
train,660,2308,3309,cross,0
train,661,2814,3815,cross,0
train,662,2895,3896,cross,0
train,663,376,1377,cross,0
train,664,885,1886,cross,0
train,665,2370,3371,cross,0
train,666,1135,2136,cross,0
train,667,1399,2400,cross,0
train,668,2528,3529,cross,0
train,669,249,1250,cross,0
train,670,1676,2677,cross,0
train,671,2734,3735,cross,0
train,672,702,1703,cross,0
train,673,1392,2393,cross,0
train,674,1483,2484,cross,0
train,675,683,1684,cross,0
train,676,2885,3886,cross,0
train,677,854,1855,cross,0
train,678,601,1602,cross,0
train,679,1473,2474,cross,0
train,680,743,1744,cross,0
train,681,1738,2739,cross,0
train,682,2182,3183,cross,0
train,683,350,1351,cross,0
train,684,1582,2583,cross,0
train,685,2152,3153,cross,0
train,686,2131,3132,cross,0
train,687,73,1074,cross,0
train,688,2465,3466,cross,0
train,689,2780,3781,cross,0
train,690,1886,2887,cross,0
train,691,2631,3632,cross,0
train,692,1373,2374,cross,0
train,693,2033,3034,cross,0
train,694,2695,3696,cross,0
train,695,1617,2618,cross,0
train,696,1445,2446,cross,0
train,697,544,1545,cross,0
train,698,2940,3941,cross,0
train,699,215,1216,cross,0
train,700,1141,2142,cross,0
train,701,304,1305,cross,0
train,702,1236,2237,cross,0
train,703,198,1199,cross,0
train,704,241,1242,cross,0
train,705,2959,3960,cross,0
train,706,724,1725,cross,0
train,707,560,1561,cross,0
train,708,1057,2058,cross,0
train,709,933,1934,cross,0
train,710,116,1117,cross,0
train,711,506,1507,cross,0
train,712,587,1588,cross,0
train,713,739,1740,cross,0
train,714,2633,3634,cross,0
train,715,1246,2247,cross,0
train,716,1218,2219,cross,0
train,717,2381,3382,cross,0
train,718,94,1095,cross,0
train,719,1654,2655,cross,0
train,720,2466,3467,cross,0
train,721,2362,3363,cross,0
train,722,902,1903,cross,0
train,723,2026,3027,cross,0
train,724,2640,3641,cross,0
train,725,2319,3320,cross,0
train,726,252,1253,cross,0
train,727,1048,2049,cross,0
train,728,783,1784,cross,0
train,729,2828,3829,cross,0
train,730,1152,2153,cross,0
train,731,1712,2713,cross,0
train,732,2326,3327,cross,0
train,733,1879,2880,cross,0
train,734,697,1698,cross,0
train,735,880,1881,cross,0
train,736,991,1992,cross,0
train,737,994,1995,cross,0
train,738,2527,3528,cross,0
train,739,2898,3899,cross,0
train,740,170,1171,cross,0
train,741,1799,2800,cross,0
train,742,2757,3758,cross,0
train,743,1668,2669,cross,0
train,744,2105,3106,cross,0
train,745,1328,2329,cross,0
train,746,2445,3446,cross,0
train,747,2685,3686,cross,0
train,748,1855,2856,cross,0
train,749,1587,2588,cross,0
train,750,920,1921,cross,0
train,751,125,1126,cross,0
train,752,2224,3225,cross,0
train,753,1254,2255,cross,0
train,754,2047,3048,cross,0
train,755,2951,3952,cross,0
train,756,2114,3115,cross,0
train,757,1612,2613,cross,0
train,758,1063,2064,cross,0
train,759,639,1640,cross,0
train,760,1959,2960,cross,0
train,761,897,1898,cross,0
train,762,153,1154,cross,0
train,763,2286,3287,cross,0
train,764,2687,3688,cross,0
train,765,1721,2722,cross,0
train,766,2887,3888,cross,0
train,767,1118,2119,cross,0
train,768,1780,2781,cross,0
train,769,1496,2497,cross,0
train,770,2418,3419,cross,0
train,771,465,1466,cross,0
train,772,1874,2875,cross,0
train,773,2337,3338,cross,0
train,774,1438,2439,cross,0
train,775,1589,2590,cross,0
train,776,2655,3656,cross,0
train,777,2922,3923,cross,0
train,778,141,1142,cross,0
train,779,361,1362,cross,0
train,780,2029,3030,cross,0
train,781,1711,2712,cross,0
train,782,289,1290,cross,0
train,783,532,1533,cross,0
train,784,2900,3901,cross,0
train,785,184,1185,cross,0
train,786,2136,3137,cross,0
train,787,101,1102,cross,0
train,788,1009,2010,cross,0
train,789,2835,3836,cross,0
train,790,1157,2158,cross,0
train,791,663,1664,cross,0
train,792,1964,2965,cross,0
train,793,1778,2779,cross,0
train,794,135,1136,cross,0
train,795,379,1380,cross,0
train,796,803,1804,cross,0
train,797,2933,3934,cross,0
train,798,15,1016,cross,0
train,799,1075,2076,cross,0
train,800,603,1604,cross,0
train,801,640,1641,cross,0
train,802,1557,2558,cross,0
train,803,2088,3089,cross,0
train,804,2060,3061,cross,0
train,805,2779,3780,cross,0
train,806,273,1274,cross,0
train,807,2789,3790,cross,0
train,808,1367,2368,cross,0
train,809,1339,2340,cross,0
train,810,481,1482,cross,0
train,811,1456,2457,cross,0
train,812,296,1297,cross,0
train,813,945,1946,cross,0
train,814,1944,2945,cross,0
train,815,686,1687,cross,0
train,816,1251,2252,cross,0
train,817,1603,2604,cross,0
train,818,2079,3080,cross,0
train,819,2390,3391,cross,0
train,820,2620,3621,cross,0
train,821,2008,3009,cross,0
train,822,1922,2923,cross,0
train,823,2776,3777,cross,0
train,824,166,1167,cross,0
train,825,1073,2074,cross,0
train,826,2324,3325,cross,0
train,827,50,1051,cross,0
train,828,2714,3715,cross,0
train,829,1543,2544,cross,0
train,830,776,1777,cross,0
train,831,1025,2026,cross,0
train,832,696,1697,cross,0
train,833,2613,3614,cross,0
train,834,845,1846,cross,0
train,835,679,1680,cross,0
train,836,2426,3427,cross,0
train,837,2693,3694,cross,0
train,838,658,1659,cross,0
train,839,813,1814,cross,0
train,840,106,1107,cross,0
train,841,1386,2387,cross,0
train,842,1801,2802,cross,0
train,843,1884,2885,cross,0
train,844,1155,2156,cross,0
train,845,1284,2285,cross,0
train,846,2890,3891,cross,0
train,847,1822,2823,cross,0
train,848,1487,2488,cross,0
train,849,585,1586,cross,0
train,850,715,1716,cross,0
train,851,2930,3931,cross,0
train,852,395,1396,cross,0
train,853,1439,2440,cross,0
train,854,884,1885,cross,0
train,855,1044,2045,cross,0
train,856,2036,3037,cross,0
train,857,1419,2420,cross,0
train,858,977,1978,cross,0
train,859,2606,3607,cross,0
train,860,1614,2615,cross,0
train,861,1403,2404,cross,0
train,862,1055,2056,cross,0
train,863,866,1867,cross,0
train,864,2503,3504,cross,0
train,865,2349,3350,cross,0
train,866,2511,3512,cross,0
train,867,2590,3591,cross,0
train,868,2836,3837,cross,0
train,869,726,1727,cross,0
train,870,2441,3442,cross,0
train,871,742,1743,cross,0
train,872,2405,3406,cross,0
train,873,954,1955,cross,0
train,874,1097,2098,cross,0
train,875,477,1478,cross,0
train,876,1936,2937,cross,0
train,877,263,1264,cross,0
train,878,1014,2015,cross,0
train,879,1107,2108,cross,0
train,880,1321,2322,cross,0
train,881,578,1579,cross,0
train,882,853,1854,cross,0
train,883,654,1655,cross,0
train,884,2287,3288,cross,0
train,885,1908,2909,cross,0
train,886,1916,2917,cross,0
train,887,2751,3752,cross,0
train,888,2478,3479,cross,0
train,889,911,1912,cross,0
train,890,2656,3657,cross,0
train,891,846,1847,cross,0
train,892,2198,3199,cross,0
train,893,434,1435,cross,0
train,894,2228,3229,cross,0
train,895,733,1734,cross,0
train,896,608,1609,cross,0
train,897,1664,2665,cross,0
train,898,709,1710,cross,0
train,899,1770,2771,cross,0
train,900,435,1436,cross,0
train,901,529,1530,cross,0
train,902,2896,3897,cross,0
train,903,2530,3531,cross,0
train,904,956,1957,cross,0
train,905,1627,2628,cross,0
train,906,2659,3660,cross,0
train,907,1768,2769,cross,0
train,908,1072,2073,cross,0
train,909,1868,2869,cross,0
train,910,917,1918,cross,0
train,911,2395,3396,cross,0
train,912,2962,3963,cross,0
train,913,1895,2896,cross,0
train,914,2092,3093,cross,0
train,915,2494,3495,cross,0
train,916,146,1147,cross,0
train,917,2892,3893,cross,0
train,918,152,1153,cross,0
train,919,879,1880,cross,0
train,920,464,1465,cross,0
train,921,1290,2291,cross,0
train,922,1220,2221,cross,0
train,923,2723,3724,cross,0
train,924,1789,2790,cross,0
train,925,2926,3927,cross,0
train,926,2233,3234,cross,0
train,927,1354,2355,cross,0
train,928,1385,2386,cross,0
train,929,455,1456,cross,0
train,930,772,1773,cross,0
train,931,713,1714,cross,0
train,932,2151,3152,cross,0
train,933,1464,2465,cross,0
train,934,2306,3307,cross,0
train,935,2643,3644,cross,0
train,936,2221,3222,cross,0
train,937,1163,2164,cross,0
train,938,1948,2949,cross,0
train,939,2809,3810,cross,0
train,940,1687,2688,cross,0
train,941,581,1582,cross,0
train,942,2886,3887,cross,0
train,943,942,1943,cross,0
train,944,2638,3639,cross,0
train,945,2302,3303,cross,0
train,946,2185,3186,cross,0
train,947,1020,2021,cross,0
train,948,2729,3730,cross,0
train,949,185,1186,cross,0
